companyID,directorID
0,0
0,1
1,2
2,3
2,4
3,5
4,6
4,7
4,8
5,9
6,10
6,11
6,12
6,13
6,14
6,15
7,16
8,17
8,18
9,19
9,20
10,21
11,22
12,23
13,24
13,25
14,26
15,27
16,28
16,29
17,30
17,31
17,32
18,33
18,34
19,35
20,36
21,37
22,38
22,39
23,40
23,41
23,42
24,43
24,44
25,45
26,46
27,47
28,48
29,49
30,50
31,51
31,52
32,53
32,54
33,55
33,56
33,57
33,58
33,59
33,60
33,61
33,62
33,63
34,64
34,65
34,66
34,67
34,68
35,69
35,70
36,71
37,72
38,73
39,74
39,75
40,76
40,77
41,78
41,79
41,80
42,81
42,82
43,83
44,84
44,85
44,86
45,64
45,68
45,70
45,72
45,87
46,88
46,89
47,90
48,91
48,92
49,93
50,94
51,95
51,96
52,97
53,98
53,99
53,100
54,101
54,102
54,103
55,104
56,105
56,106
56,107
56,108
57,109
57,110
58,111
59,112
60,113
60,114
61,115
61,116
62,117
62,118
62,119
62,120
63,121
64,122
64,123
65,124
65,125
65,126
65,127
65,128
66,129
67,130
68,131
69,132
70,133
70,134
71,135
71,136
72,137
72,138
73,139
73,140
73,141
74,142
74,143
74,144
75,145
76,146
77,147
77,148
78,149
78,150
79,151
79,152
79,153
79,154
79,155
79,156
80,157
81,158
82,159
83,160
83,161
83,162
84,163
85,164
86,165
86,166
87,167
88,168
88,169
89,170
90,171
91,172
92,173
93,174
93,175
94,176
95,177
95,178
96,179
97,180
98,181
98,182
99,183
100,184
101,185
101,186
102,187
102,188
102,189
102,190
102,191
102,192
102,193
102,194
102,195
102,196
103,197
104,198
105,199
105,200
105,201
105,202
105,203
106,204
106,205
106,206
107,207
108,208
109,209
109,210
109,211
110,212
111,213
111,214
112,215
112,216
113,217
114,218
114,219
115,220
115,221
115,222
116,223
117,224
117,225
118,226
118,227
119,228
120,229
120,230
120,231
121,232
122,233
123,234
124,235
124,236
125,237
126,238
127,239
128,240
128,241
129,242
129,243
130,244
131,245
131,246
132,247
132,248
132,249
132,250
132,251
133,252
134,253
134,254
134,255
134,256
134,257
135,258
135,259
135,260
135,261
135,262
136,263
137,264
138,265
138,266
139,267
139,268
139,269
139,270
139,271
139,272
139,273
139,274
140,275
140,276
140,277
141,278
142,279
142,280
143,281
144,282
145,283
146,284
147,285
147,286
147,287
148,288
149,289
150,290
150,291
150,292
150,293
151,294
152,295
153,296
153,297
154,298
154,299
155,300
155,301
156,302
156,303
157,304
158,305
159,306
160,307
161,308
162,309
162,310
162,311
162,312
162,313
162,314
163,315
164,316
164,317
164,318
164,319
165,320
165,321
165,322
165,323
166,324
166,325
167,326
168,327
168,328
169,329
169,330
169,331
170,332
171,333
171,334
171,335
172,336
172,337
173,338
173,339
174,340
174,341
175,342
176,343
177,344
177,345
178,346
179,347
179,348
180,349
181,350
182,351
182,352
183,353
183,354
183,355
183,356
184,357
185,358
186,359
187,360
188,361
189,362
190,363
190,364
190,365
191,366
192,367
193,368
193,369
194,370
195,371
196,372
197,373
197,374
198,375
199,376
200,377
201,378
202,379
203,380
204,381
204,382
205,383
206,384
206,385
207,386
208,387
209,388
210,389
211,390
212,391
213,392
214,393
215,394
215,395
215,396
216,397
217,398
218,399
219,400
220,401
221,402
221,403
222,404
223,405
223,406
223,407
224,408
224,409
224,410
225,411
225,412
226,413
227,408
227,410
227,414
228,415
229,416
230,417
230,418
231,419
232,420
233,421
233,422
234,423
235,424
236,425
237,426
238,427
239,428
240,429
240,430
240,431
241,432
241,433
241,434
242,435
243,436
244,437
245,438
246,439
247,440
247,441
247,442
248,443
249,444
249,445
249,446
250,447
251,448
251,449
251,450
252,451
252,452
253,453
253,454
254,455
255,456
256,457
256,458
256,459
256,460
256,461
256,462
256,463
256,464
257,465
257,466
258,467
259,468
260,469
261,470
261,471
261,472
262,473
263,474
263,475
263,476
264,477
265,478
265,479
266,480
267,481
267,482
268,483
269,484
269,485
269,486
270,487
271,488
271,489
272,490
273,491
273,492
274,493
275,494
275,495
275,496
276,497
276,498
277,499
278,500
278,501
279,502
279,503
279,504
280,505
281,506
282,507
283,508
284,509
284,510
285,511
286,512
286,513
287,514
288,515
289,516
289,517
290,518
290,519
291,520
292,521
292,522
293,523
294,524
294,525
295,283
296,526
296,527
297,528
298,529
299,530
299,531
299,532
299,533
300,534
301,535
301,536
302,537
302,538
302,539
303,540
